[#Branch1]
[#Branch2]
[#C]
[#N]
[=Branch1]
[=Branch2]
[=C]
[=N]
[=O]
[=Ring1]
[=Ring2]
[=S]
[Br]
[Branch1]
[Branch2]
[C]
[Cl]
[F]
[H]
[NH1]
[N]
[O]
[P]
[Ring1]
[Ring2]
[S]
[nop]
^
